topic,joke,label
Food,What do you call fake spaghetti? An impasta.,0
Halloween,How does a vampire start a letter? Tomb it may concern.,0
Parenting,"Don’t buy one of those baby intercoms. Babies pretend to be dead. They’re bastards, and they do it on purpose.",1
Cleaning,What did the janitor say when he jumped out of the closet? Supplies!,0
Injury,The easiest time to add insult to injury is when you’re signing somebody’s cast.,1
Parenting,"My mother told me, you don’t have to put anything in your mouth you don’t want to. Then she made me eat broccoli, which felt like double standards.",1
Charity,Why don't oysters donate to charity? Because they are shellfish.,0
Sports,"If I was an Olympic athlete, I’d rather come in last than win the silver medal. You win the gold, you feel good. You win the bronze, you think, ‘at least I got something.’ But you win that silver, that’s like, ‘Congratulations, you almost won! Of all the losers, you came in first! You’re the number one loser! No one lost ahead of you!’",1
Animals,What do you call a pile of cats? A meowtain.,0
Weather,Why did the stadium get hot after the game? All the fans left.,0
Religion,You won’t burn in hell. But be nice anyway.,1
Bees,Why do bees have sticky hair? Because they use honeycombs.,0
Fishing,"Give a man a fish, and he’ll probably follow you home expecting more fish.",1
Music,Why did the chicken join a band? Because it had the drumsticks.,0
Field,Why did the scarecrow become a successful neurosurgeon? Because he was outstanding in his field.,0
Creation,"If God had written the Bible, the first line should have been ‘It’s round.'",1
Misunderstanding,Two fish in a tank. One says: ‘How do you drive this thing?',1
Food,Why don't eggs tell jokes? They'd crack each other up.,0
Celebrity,It’s gonna be a night of partying and heavy drinking. Or as Charlie calls it: breakfast.,1
Halloween,What do you get when you cross a snowman and a vampire? Frostbite.,0
Coffee,Why did the coffee file a police report? It got mugged.,0
Philosophy,"Remember, when you are dead, you do not know you are dead. It is only painful for others. The same applies when you are stupid.",1
Boomerangs,What do you call a boomerang that doesn't come back? A stick.,0
Transportation,Why did the bicycle fall over? It was two-tired.,0
Animals,What do you call an alligator in a vest? An investigator.,0
Fatherhood,"This motherfucker calls me up in the middle of the night. It was one o'clock in the morning and he goes, 'Dad, don’t be mad […] I’m at a party and my designated driver had too much to drink. Me and friends need you to come pick us up.' I said, 'Jesus Christ, it’s one o'clock in the morning. Nigga, I am shit-faced!'",1
Family,"My father drank so heavily, when he blew on the birthday cake he lit the candles.",1
Animals,"Two monkeys were getting into the bath. One said: ‘Oo, oo, oo, aah aah aah.’ The other replied: ‘Well, put some cold in it then.’",1
Life Perception,When people say ‘life is short’. What the f***? Life is the longest damn thing anyone ever f***ing does! What can you do that’s longer?,1
Music Industry,"Piracy doesn’t kill music, boy bands do.",1
Memory,"Apparently smoking cannabis can affect your short term memory. Well if that’s true, what do you think smoking cannabis does?",1
Food,What do you call fake spaghetti? An impasta.,0
Food,Why did the tomato turn red? Because it saw the salad dressing.,0
Skeletons,Why don't skeletons fight each other? They don't have the guts.,0
Food,Why don't eggs tell jokes? They'd crack each other up.,0
Consumerism,"A good rule to remember for life is that when it comes to plastic surgery and sushi, never be attracted by a bargain.",1
Space,How do you organize a space party? You planet.,0
Food,Why was the baby strawberry crying? Because its parents were in a jam.,0
Identity,"Roses are red, violets are blue, I’m a schizophrenic, and so am I.",1
Fashion,Why do cows wear bells? Because their horns don't work.,0
Technology,Why was the computer cold? It left its Windows open.,0
Books,Why did the math book look sad? Because it had too many problems.,0
Sports,Why don't some fish play basketball? Because they are afraid of the net.,0
Animals,How do you catch a squirrel? Climb a tree and act like a nut.,0
